shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie
burgers,meatballs,eggs,whole wheat rice,whole wheat rice,whole wheat rice,whole wheat rice,whole wheat rice,whole wheat rice,whole wheat rice,whole wheat rice,whole wheat rice,whole wheat rice,whole wheat rice,whole wheat rice,whole wheat rice,whole wheat rice,whole wheat rice
chutney,avocado,energy bar,eggs,eggs,eggs,eggs,eggs,eggs,eggs,eggs,eggs,eggs,eggs,eggs,eggs,eggs,eggs
turkey,milk,shallot,honey,honey,honey,honey,honey,honey,honey,honey,honey,honey,honey,honey,honey,honey,honey
mineral water,french fries,green tea,spaghetti,green tea,green tea,green tea,green tea,green tea,green tea,green tea,green tea,green tea,green tea,green tea,green tea,green tea,green tea
low fat yogurt,light cream,mineral water,french fries,french fries,french fries,french fries,french fries,french fries,french fries,french fries,french fries,french fries,french fries,french fries,french fries,french fries,french fries
whole wheat pasta,spaghetti,cookies,pepper,pepper,pepper,pepper,pepper,pepper,pepper,pepper,pepper,pepper,pepper,pepper,pepper,pepper,pepper
soup,pet food,chicken,body spray,body spray,body spray,body spray,body spray,body spray,body spray,body spray,body spray,body spray,body spray,body spray,body spray,body spray,body spray
frozen vegetables,burgers,tomatoes,pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta,pasta
french fries,champagne,honey,avocado,avocado,avocado,avocado,avocado,avocado,avocado,avocado,avocado,avocado,avocado,avocado,avocado,avocado,avocado
eggs,salmon,pasta,milk,milk,milk,milk,milk,milk,milk,milk,milk,milk,milk,milk,milk,milk,milk
cookies,chocolate,ham,chocolate,chocolate,chocolate,chocolate,chocolate,chocolate,chocolate,chocolate,chocolate,chocolate,chocolate,chocolate,chocolate,chocolate,chocolate
turkey,eggs,shrimp,mineral water,cooking oil,cooking oil,cooking oil,cooking oil,cooking oil,cooking oil,cooking oil,cooking oil,cooking oil,cooking oil,cooking oil,cooking oil,cooking oil,cooking oil
spaghetti,fresh tuna,soup,magazines,magazines,magazines,magazines,magazines,magazines,magazines,magazines,magazines,magazines,magazines,magazines,magazines,magazines,magazines
