shrimp,almonds,avocado,vegetables mix
burgers,meatballs,eggs,whole wheat rice
chutney,avocado,energy bar,eggs
turkey,milk,shallot,honey
mineral water,french fries,green tea,spaghetti
low fat yogurt,light cream,mineral water,french fries
whole wheat pasta,spaghetti,cookies,pepper
soup,pet food,chicken,body spray
frozen vegetables,burgers,tomatoes,pasta
french fries,champagne,honey,avocado
eggs,salmon,pasta,milk
cookies,chocolate,ham,chocolate
turkey,eggs,shrimp,mineral water
spaghetti,fresh tuna,soup,magazines
mineral water,milk,mineral water,eggs
mineral water,shrimp,chicken,escalope
shrimp,sparkling water,yams,mineral water
turkey,mineral water,light cream,sparkling water
turkey,grated cheese,avocado,hot dogs
meatballs,spaghetti,strawberries,clothes accessories
red wine,spaghetti,chocolate,white wine
rice,eggs,salmon,tomatoes
spaghetti,spaghetti,mineral water,soda
burgers,tomato sauce,cottage cheese,cider
eggs,chocolate,green tea,protein bar
parmesan cheese,french fries,spaghetti,mineral water
ground beef,strong cheese,,tomato sauce
sparkling water,spaghetti,hot dogs,mineral water
mineral water,french fries,,french fries
frozen vegetables,ground beef,french fries,french fries
herb & pepper,cake,cereals,mineral water
mineral water,champagne,,green tea
turkey,frozen vegetables,green tea,pasta
frozen vegetables,meatballs,brownies,french fries
cookies,avocado,eggs,body spray
pickles,chicken,champagne,pepper
energy bar,bug spray,frozen vegetables,almonds
red wine,muffins,mineral water,chocolate
mineral water,black tea,shallot,eggs
pickles,chocolate,tomatoes,carrots
spaghetti,mineral water,shallot,mineral water
fresh tuna,muffins,,cooking oil
spaghetti,chocolate,low fat yogurt,soup
soup,escalope,spaghetti,cake
escalope,light mayo,french fries,french fries
soup,fresh tuna,milk,eggs
mineral water,cookies,butter,fresh bread
mineral water,chicken,herb & pepper,low fat yogurt
avocado,frozen vegetables,,pancakes
burgers,,low fat yogurt,white wine
spaghetti,bug spray,shrimp,eggs
fresh tuna,eggs,eggs,soup
spaghetti,milk,escalope,frozen vegetables
spaghetti,whole wheat pasta,frozen vegetables,protein bar
french fries,pasta,cookies,spaghetti
tomato sauce,herb & pepper,ground beef,ground beef
turkey,escalope,chocolate,olive oil
eggs,chocolate,energy bar,spaghetti
soup,strawberries,ground beef,frozen smoothie
turkey,ground beef,chocolate,mineral water
spaghetti,cake,pet food,soup
clothes accessories,energy bar,spaghetti,mineral water
energy drink,grated cheese,gums,frozen vegetables
soup,,mineral water,pepper
turkey,energy drink,soup,milk
french fries,frozen smoothie,chocolate,water spray
chocolate,,mineral water,eggs
herb & pepper,salad,tomato juice,frozen smoothie
cookies,french fries,chocolate,chocolate bread
shrimp,,french fries,eggs
grated cheese,herb & pepper,salmon,mineral water
burgers,low fat yogurt,olive oil,mineral water
cookies,almonds,mineral water,milk
yogurt cake,soup,frozen smoothie,spaghetti
soup,ham,milk,soup
cookies,eggs,pasta,pancakes
mineral water,whole wheat pasta,antioxydant juice,honey
eggs,barbecue sauce,ground beef,rice
grated cheese,herb & pepper,chocolate,ground beef
